index,name,population
1,Abilene,115930
2,Akron,217074
3,Albany,93994
4,Albuquerque,448607
5,Alexandria,128283
6,Allentown,106632
7,Amarillo,173627
8,Anaheim,328014
9,Anchorage,260283
10,Ann Arbor,114024
11,Arden-Arcade,92040
12,Arlington,332969
13,Arlington,174838
14,Arvada,102153
15,Athens-Clarke County,101489
16,Atlanta,416474
17,Augusta-Richmond County,199775
18,Aurora,276393
19,Aurora,142990
20,Austin,656562
21,Bakersfield,247057
22,Baltimore,651154
23,Baton Rouge,227818
24,Beaumont,113866
25,Bellevue,109569
26,Berkeley,102743
27,Billings,92988
28,Birmingham,242820
29,Boise City,185787
30,Boston,589141
31,Boulder,91238
32,Bridgeport,139529
33,Brockton,93653
34,Brownsville,139722
35,Buffalo,292648
36,Burbank,100316
37,Cambridge,101355
38,Cape Coral,102286
39,Carrollton,109576
40,Carson,89089
41,Cary,91213
42,Cedar Rapids,120758
43,Chandler,176581
44,Charleston,89063
45,Charlotte,540828
46,Chattanooga,155554
47,Chesapeake,199184
48,Chicago,2896016
49,Chula Vista,173556
50,Cincinnati,331285
51,Citrus Heights,103455
52,Clarksville,108787
53,Clearwater,99936
54,Cleveland,478403
55,Colorado Springs,360890
56,Columbia,116278
57,Columbus,711470
58,Columbus,186291
59,Compton,92864
60,Concord,121780
61,Coral Springs,117549
62,Corona,124966
63,Corpus Christi,277454
64,Costa Mesa,108724
65,Dallas,1188580
66,Daly City,103621
67,Davenport,98256
68,Dayton,166179
69,Denver,554636
70,Des Moines,198682
71,Detroit,951270
72,Downey,107323
73,Durham,187035
74,East Los Angeles,126379
75,El Cajon,94578
76,El Monte,115965
77,El Paso,563662
78,Elgin,89408
79,Elizabeth,120568
80,Erie,103717
81,Escondido,133559
82,Eugene,137893
83,Evansville,121582
84,Fairfield,92256
85,Fall River,90555
86,Fayetteville,121015
87,Flint,124943
88,Fontana,128929
89,Fort Collins,118652
90,Fort Lauderdale,152397
91,Fort Wayne,205727
92,Fort Worth,534694
93,Fremont,203413
94,Fresno,427652
95,Fullerton,126003
96,Gainesville,92291
97,Garden Grove,165196
98,Garland,215768
99,Gary,102746
100,Gilbert,109697
101,Glendale,218812
102,Glendale,194973
103,Grand Prairie,127427
104,Grand Rapids,197800
105,Green Bay,102313
106,Greensboro,223891
107,Hampton,146437
108,Hartford,121578
109,Hayward,140030
110,Henderson,175381
111,Hialeah,226419
112,Hollywood,139357
113,Honolulu,371657
114,Houston,1953631
115,Huntington Beach,189594
116,Huntsville,158216
117,Independence,113288
118,Indianapolis,791926
119,Inglewood,112580
120,Irvine,143072
121,Irving,191615
122,Jackson,184256
123,Jacksonville,735167
124,Jersey City,240055
125,Joliet,106221
126,Kansas City,441545
127,Kansas City,146866
128,Kenosha,89447
129,Knoxville,173890
